"latitude","longitude","Species","City"
35.3011,-99.1702,"Momo",2.18610544356577
41.2333,-96.42668,"Momo",0.137542420450081
36.57869,-90.21339,"Momo",6.73511976571018
38.039,-90.7517,"Momo",1.4812859926803
38.11468,-91.06547,"Momo",1.3962378362008
37.18847,-90.52135,"Momo",6.28428269267498
37.85524,-94.11218,"Momo",2.64483382824638
37.5656,-92.1426,"Momo",1.34653093990033
36.66887,-93.29459,"Momo",1.14391445819869
36.67065,-93.65774,"Momo",1.12213595660091
36.87593,-89.86899,"Momo",6.10554679986605
37.8602,-90.0329,"Momo",2.60888758488199
38.73802,-90.53249,"Momo",0.127494648627161
37.40025,-90.23058,"Momo",6.24862573966402
37.9939,-93.8794,"Momo",3.14638969625764
38.655,-90.675,"Momo",0.159749480721081
37.2306,-91.30804,"Momo",3.17401113343734
37.236,-89.55949,"Momo",4.60604977710654
38.21285,-90.66216,"Momo",0.769614570307399
37.30427,-90.83465,"Momo",4.8040111422357
37.714,-92.173,"Momo",1.72008748132899
37.7664,-93.5395,"Momo",1.44511530650224
37.54661,-93.41,"Momo",0.52655202909774
37.82861,-92.20055,"Momo",2.13041845565097
37.50983,-92.22327,"Momo",1.10531254539978
37.4504,-92.5415,"Momo",0.590875648537302
39.20894,-94.2908,"Momo",0.0557432461951607
37.05571,-90.89388,"Momo",4.99964167181297
36.66708,-90.9525,"Momo",6.42489571604083
37.286,-89.6075,"Momo",4.51826550515324
38.0944,-93.5577,"Momo",3.46197930537588
38.69428,-90.52987,"Momo",0.0908140962751181
36.63621,-93.31413,"Momo",1.28234124072577
36.73,-93.51,"Momo",0.869503263626309
36.71418,-93.25712,"Momo",0.969611822935401
36.3881,-93.1073,"Momo",2.80005339343074
36.39835,-93.14626,"Momo",2.70104846525697
37.27,-91.985,"Momo",1.35215003326769
37.8322,-95.32129,"Momo",3.22569685847749
37.84203,-94.6028,"Momo",3.62820088167969
37.91544,-94.32079,"Momo",3.42453297454137
37.84239,-94.60359,"Momo",3.63240894185214
38.01223,-91.64719,"Momo",2.64559695177602
36.00565,-89.67815,"Momo",3.15466480647234
36.615,-92.425,"Momo",2.32893496394369
37.03575,-94.52888,"Momo",1.23169010305538
